Price,Close,High,Low,Open,Volume
Ticker,UNIONBANK.NS,UNIONBANK.NS,UNIONBANK.NS,UNIONBANK.NS,UNIONBANK.NS
Date,,,,,
2002-09-24,8.76609992980957,9.329060053573748,8.685677201076183,9.141406338108862,8206697
2002-09-25,8.605253219604492,8.712484203468593,8.471215512404816,8.712484203468593,1959835
2002-09-26,8.203139305114746,8.685677212071637,8.12271606496431,8.685677212071637,1270365
2002-09-27,8.229947090148926,8.363985313041805,8.122716102782428,8.310369819358558,1357003
2002-09-30,8.256754875183105,8.498024101499558,8.122716643369644,8.203139889246888,1475227
2002-10-01,8.310368537902832,8.363984023318594,8.203138078386473,8.256753052487072,339944
2002-10-02,8.310368537902832,8.310368537902832,8.310368537902832,8.310368537902832,0
2002-10-03,8.283562660217285,8.36398590644801,8.256754911473712,8.36398590644801,138613
2002-10-04,8.256754875183105,8.310370372434601,8.229947637872634,8.283562623808853,157713
2002-10-07,8.337176322937012,8.36398406578099,8.176330377188307,8.176330377188307,179434
2002-10-08,8.149523735046387,8.363985195448933,8.122715988581664,8.363985195448933,249002
2002-10-09,8.042292594909668,8.256753526247849,8.042292594909668,8.176330804824829,408547
2002-10-10,8.015485763549805,8.095909005447446,7.961870780266629,8.069101258148233,147908
2002-10-11,8.015485763549805,8.042293510849019,7.9082552856682025,8.042293510849019,267590
2002-10-14,7.935061931610107,8.04229239460852,7.9082541880317105,8.04229239460852,173558
2002-10-15,7.935061931610107,7.935061931610108,7.935061931610108,7.935061931610108,0
2002-10-16,7.908254146575928,8.015484609012226,7.881446403138058,7.908254146575928,206333
2002-10-17,7.908254146575928,7.988676865574357,7.827831427577498,7.854638659700189,202202
2002-10-18,8.149523735046387,8.390792430598422,7.881447293029629,7.935062785959074,700416
2002-10-21,8.042292594909668,8.22994629331697,8.042292594909668,8.176330804824829,66861
2002-10-22,8.015485763549805,8.095909005447446,7.988678016250592,8.042293510849019,105096
2002-10-23,8.095909118652344,8.176331850359283,7.961870891597274,8.042293623304213,91154
2002-10-24,8.069100379943848,8.283561312366096,8.015484891180687,8.042292635562267,573557
2002-10-25,8.203139305114746,8.41760025621876,8.095908829562738,8.149523811681123,1140336
2002-10-28,8.229947090148926,8.310369819358558,8.122716102782428,8.310369819358558,251903
2002-10-29,8.256754875183105,8.390793106996567,8.203139889246888,8.256754875183105,477498
2002-10-30,8.203139305114746,8.337177527383565,8.149523811681123,8.256754287233129,402321
2002-10-31,8.176332473754883,8.28356296131156,8.149524724036889,8.256755211593566,188728
2002-11-01,8.176332473754883,8.28356296131156,8.149524724036889,8.28356296131156,152135
2002-11-04,8.256754875183105,8.310370372434601,8.17633214062114,8.310370372434601,111000
2002-11-05,8.712485313415527,8.739292551481496,8.229947869814014,8.417601092852252,1346049
2002-11-06,8.712485313415527,8.712485313415527,8.712485313415527,8.712485313415527,0
2002-11-07,8.605253219604492,8.792906930051444,8.310369547923889,8.310369547923889,451015
2002-11-08,8.551637649536133,8.605252626457359,8.4712149284967,8.551637649536133,171140
2002-11-11,8.498023986816406,8.632062216820986,8.444408490288467,8.632062216820986,76556
2002-11-12,8.444409370422363,8.551639863339265,8.363986628563516,8.524832112281208,101809
2002-11-13,8.444409370422363,8.47121712148042,8.363986628563516,8.47121712148042,87617
2002-11-14,8.498023986816406,8.739292187246326,8.390792993760527,8.390792993760527,462753
2002-11-15,8.551637649536133,8.605252626457359,8.4712149284967,8.524829905417926,200980
2002-11-18,8.578444480895996,8.63205996342765,8.49802176841365,8.578444480895996,124881
2002-11-19,8.578444480895996,8.578444480895996,8.578444480895996,8.578444480895996,0
2002-11-20,8.551637649536133,8.605252626457359,8.498022672614908,8.578445393654341,126554
2002-11-21,8.551637649536133,8.578445393654341,8.524829905417926,8.578445393654341,150038
2002-11-22,8.551637649536133,8.739290835733208,8.524829905417926,8.524829905417926,1137118
2002-11-25,8.605253219604492,8.658868711536543,8.578445984953692,8.578445984953692,317897
2002-11-26,8.685677528381348,8.95375398268163,8.605253773986849,8.766100260145327,635139
2002-11-27,8.685677528381348,8.87333022828713,8.632062032995186,8.632062032995186,903742
2002-11-28,9.007365226745605,9.034173476144522,8.739288868537342,8.792904344705025,1478189
2002-11-29,8.953752517700195,9.087790722919477,8.90013703108641,9.06098246829741,463077
2002-12-02,9.11460018157959,9.195022919832113,9.060984681867707,9.11460018157959,919984
2002-12-03,8.873330116271973,9.248637556606768,8.84652288023256,9.248637556606768,712537
2002-12-04,8.900139808654785,8.95375531200097,8.81971706495084,8.846524305308598,303569
2002-12-05,8.980561256408691,9.034176752017833,8.90013852431024,8.980561256408691,281847
2002-12-06,9.11460018157959,9.195022919832113,8.980561943615184,9.060984681867707,703712
2002-12-09,9.248636245727539,9.463097171537177,9.114598039267719,9.141405271507539,1743681
2002-12-10,9.355868339538574,9.43629106851236,9.114599129986733,9.114599129986733,764437
2002-12-11,9.355868339538574,9.570329291012166,9.275444587934306,9.275444587934306,2124294
2002-12-12,9.516714096069336,9.677559559063372,9.436291364572318,9.597136827566354,1884686
2002-12-13,9.784790992736816,9.892021988010814,9.543521764685602,9.6507527599596,1720766
2002-12-16,9.918827056884766,10.45497987077043,9.865211570970132,10.052865260356182,5364161
2002-12-17,10.21371078491211,10.320941757680409,9.731173452715458,10.026058116513106,3466257
2002-12-18,10.48178768157959,10.696249637088135,10.26732674870144,10.454980448456219,5344298
2002-12-19,10.267327308654785,10.74986468960456,10.160097347682864,10.508596510444898,6762625
2002-12-20,10.401366233825684,10.589019956569475,10.267328006527336,10.454981729271127,2990592
2002-12-23,10.454980850219727,10.615826300401704,10.320942634191269,10.615826300401704,1408935
2002-12-24,10.615823745727539,10.83028565786764,8.980558312755482,10.45497833425265,3527563
2002-12-25,10.615823745727539,10.615823745727539,10.615823745727539,10.615823745727539,0
2002-12-26,10.589019775390625,10.857096225400513,10.562212539441836,10.723058000395568,2015799
2002-12-27,10.48178768157959,10.696249637088135,10.428173215332848,10.696249637088135,1911147
2002-12-30,10.21371078491211,10.45497996232561,10.186903553035208,10.45497996232561,1260519
2002-12-31,10.320942878723145,10.535403824923767,10.186904659518948,10.320942878723145,1846184
2003-01-01,10.347750663757324,10.481788890089055,10.294136191329041,10.481788890089055,730416
2003-01-02,10.240518569946289,10.53540219759475,10.213710316668056,10.347748515168322,1723029
2003-01-03,10.21371078491211,10.40136447594146,10.186903553035208,10.294134525803507,685217
2003-01-06,9.918827056884766,10.294134435656865,9.892019825242619,10.294134435656865,966014
2003-01-07,10.052867889404297,10.106483389340573,9.784791412353515,10.026060650751461,983253
2003-01-08,10.21371078491211,10.294134525803507,9.94563437562171,10.07967258026691,889135
2003-01-09,10.615823745727539,10.72305470179759,10.18690196670771,10.294132922777761,2278578
2003-01-10,10.696250915527344,10.964327369323712,10.481788934385836,10.723058151854774,4267125
2003-01-13,11.500479698181152,11.580902425746869,10.72305761224146,10.803480339807178,8092125
2003-01-14,11.634515762329102,11.848976670305849,11.3664393717006,11.688130222350583,6075855
2003-01-15,11.929401397705078,12.03663238111865,11.661324961801594,11.71494045350838,7444151
2003-01-16,12.117056846618652,12.331517821598597,12.009825847813385,12.143864085004674,7121989
2003-01-17,12.49236011505127,12.653206572287452,11.875784585555063,12.197476477397098,7345743
2003-01-20,13.832743644714355,14.047205610939123,12.599592452074168,12.680015178093234,22841172
2003-01-21,14.985475540161133,15.14632101802598,13.939976866147804,13.939976866147804,14784677
2003-01-22,14.449321746826172,15.602050331769968,14.02039879297997,15.09270464364965,14000326
2003-01-23,14.288476943969727,15.039090923604725,13.832746699060047,14.422515191141358,10186906
2003-01-24,13.618285179138184,14.476130132241588,13.511055199144401,14.422514630929383,7161623
2003-01-27,12.680015563964844,13.645091373453646,12.519170107031949,13.511053151799407,5936384
2003-01-28,13.430628776550293,13.618282482671624,12.385131309812191,12.385131309812191,4846977
2003-01-29,13.484245300292969,14.074013697872786,13.403822569402655,13.77913001039813,4731448
2003-01-30,13.135746002197266,13.805937124758351,13.055323272016036,13.564667911584161,2858205
2003-01-31,12.840862274169922,13.135745958053622,12.653208555957344,12.948092239841044,3032477
2003-02-03,13.511054039001465,13.671899506496262,12.921285620469634,12.948092857508586,3933697
2003-02-04,13.591474533081055,14.154434599176152,13.511051812586095,13.779128229322879,6289773
2003-02-05,13.939972877502441,14.208049278992872,13.537858275266792,13.591473760090942,7309155
2003-02-06,14.04720687866211,14.154436848821268,13.45743846357986,13.91316864899026,7221564
2003-02-07,13.779128074645996,14.127627207965682,13.725512587374423,14.127627207965682,4749931
2003-02-10,12.814053535461426,13.832743795620535,12.706823573809679,13.832743795620535,4100073
2003-02-11,12.653209686279297,13.108939893326186,12.572786949184103,12.814055160469689,3806041
2003-02-12,12.626399040222168,12.921283717371566,12.519169085229072,12.653207295943236,3436268
2003-02-13,12.626399040222168,12.626399040222168,12.626399040222168,12.626399040222168,0
2003-02-14,11.902594566345215,12.680015643220749,11.822170814745606,12.680015643220749,3506160
2003-02-17,13.323400497436523,13.53786146462728,12.438748368630556,12.46555560604294,4868547
2003-02-18,13.511054039001465,13.913168730369001,13.457438542293017,13.752322240243661,5313717
2003-02-19,13.886359214782715,14.181243908693796,13.618282778116521,13.779129253694506,8414150
2003-02-20,14.04720687866211,14.690589767508667,13.725514922923562,14.04720687866211,12000442
2003-02-21,13.913167953491211,14.154436141261575,13.752321472347152,14.0203979182901,4897892
2003-02-24,14.1276273727417,14.422511022229155,14.04720465221152,14.100819117478057,4889075
2003-02-25,13.296587944030762,14.07400984953326,13.269780715274218,14.07400984953326,4269387
