Price,Close,High,Low,Open,Volume
Ticker,HINDCOPPER.NS,HINDCOPPER.NS,HINDCOPPER.NS,HINDCOPPER.NS,HINDCOPPER.NS
Date,,,,,
2010-07-05,444.031005859375,451.0907709875937,441.92225938215483,448.75281172023756,275272
2010-07-06,445.40618896484375,452.46595260892633,442.655636061446,443.8933904639892,374831
2010-07-07,440.45526123046875,451.0907395475229,437.8880893519031,447.42333516095766,350001
2010-07-08,440.2718505859375,448.2942966390335,438.25476724341627,445.58957506338976,142516
2010-07-09,436.2377014160156,444.39769782742036,435.595922494043,443.84758162282066,165570
2010-07-12,434.63323974609375,441.0053658922843,433.67055731195524,438.52985680439355,131696
2010-07-13,434.358154296875,438.9424092234911,433.0287091761277,435.504218028529,153297
2010-07-14,437.3837585449219,447.33159749518825,435.09163104394213,438.2089468293322,456862
2010-07-15,432.84539794921875,440.82198551083076,431.51595269891294,438.2548136937756,140784
2010-07-16,429.8656311035156,437.7963872876861,428.2611417260215,435.13752477242497,110518
2010-07-19,443.572509765625,447.1482511073821,428.1694239091038,428.1694239091038,673631
2010-07-20,439.7217712402344,453.6578904776116,436.0543670230182,446.5064634460695,631096
2010-07-21,440.4093933105469,448.7527431934402,438.2547878162724,448.7527431934402,200524
2010-07-22,438.02557373046875,443.2974670825361,435.7334461860916,437.3379354671556,143455
2010-07-23,433.349609375,442.2889064150241,431.9285015504093,441.5095774873154,117594
2010-07-26,422.6224060058594,435.9625745394888,421.0179170354196,434.58729827911185,115899
2010-07-27,422.8517761230469,430.36993902371313,420.83469233160514,424.9605226485816,169246
2010-07-28,417.3046875,427.6651196060356,415.4251543201793,424.96039822037227,116034
2010-07-29,418.40496826171875,425.2354915675932,415.8377686195852,419.0009158282608,168296
2010-07-30,412.12451171875,423.12672337753753,410.79506661795136,417.62561754814374,101406
2010-08-02,413.5915222167969,420.2845238186748,410.7951096723938,411.66612937869905,218695
2010-08-03,422.8058166503906,434.31231304201634,414.41663592188,416.2503378507379,646887
2010-08-04,421.7515563964844,430.82837777508865,417.213131717143,424.5021100251571,162363
2010-08-05,422.16400146484375,430.4614907874629,418.0840038319128,424.91455412163265,191584
2010-08-06,418.9092102050781,428.0777200715936,414.41664596649986,422.94334895033063,144110
2010-08-09,423.21844482421875,426.3357327580479,418.90923375269955,419.9177754907224,162137
2010-08-10,418.49664306640625,426.2898764346442,416.43372835128446,424.7770499261643,125141
2010-08-11,414.2333068847656,423.5851990957935,410.7492839716785,419.23015646439734,162824
2010-08-12,410.84100341796875,416.0670381532104,409.09899183955486,410.74931270750983,112652
2010-08-13,415.8377990722656,433.21213835272766,414.4166910802813,415.33354216674206,329035
2010-08-16,408.8697509765625,419.367679071426,407.1735708798157,418.0840931533735,71311
